pid, pnombre, precio, descripcion, tipo
1, "Jamon", 3000, "Jamon congelado de 400 gramos", "comestible"
2, "Zapatillas", 50000, "Zapatillas blancas de tela talla 38", "no comestible"
3, "Chaleco", 23000, "Chaleco de lanilla blanco Bonomia", "no comestible"
4, "Polera", 5000, "Polera blanca básica de algodón Zara", "no comestible"
5, "Manzana", 400, "Manzana fuji extraída de Casa Blanza", "comestible"
6, "Duraznos", 2000, "500 gramos de duraznos en conserva", "comestible"
7, "Café", 2000, "Café latte con endulzante", "comestible"
8, "Donuts", 6000, "Caja de 5 donuts surtido", "comestible"
9, "Pantalla LED", 10000, "Pantalla de luz", "no comestible"
10, "Set Spikeball", 50000, "Set completo para jugar Spikeball", "no comestible"
11, "Taladro", 35000, "Herramienta para taladrar", "no comestible"
12, "Lampara", 20000, "Lamara de escritorio", "no comestible"
13, "Panino Wrestel Patatine", 80000, "Algo que es excesivamente caro", "comestible"
14, "Huevo Duro", 10000, "Huevo duro innecesariamente envasado", "comestible"
15, "Gohan", 3990, "Delicioso gohan cocinado con carino", "comestible"
16, "Cafe Grande", 2000, "Cafe de maquina", "comestible"
17, "Torta Caluga", 15000, "Torta hecha con galletas de vino y frambuesas", "comestible"
18, "Cheesecake", 18000, "Cheescake de Oreo para 15 personas", "comestible"
19, "ASUS Nvdia RTX 2080 TI", 140000, "Tarjeta grafica", "no comestible"
